Epoch1 Loss: 584200.0, New Best Found!!
Epoch304 Loss: 182.00392153550277, New Best Found!!
Epoch305 Loss: 181.62454554211328, New Best Found!!
Epoch306 Loss: 181.24803344774324, New Best Found!!
Epoch307 Loss: 180.87435457242233, New Best Found!!
Epoch308 Loss: 180.50347862876026, New Best Found!!
Epoch309 Loss: 180.13537570785758, New Best Found!!
Epoch310 Loss: 179.77001626618386, New Best Found!!
Epoch311 Loss: 179.40737111337998, New Best Found!!
Epoch312 Loss: 179.04741140093887, New Best Found!!
Epoch313 Loss: 178.69010861172364, New Best Found!!
Epoch314 Loss: 178.33543455027453, New Best Found!!
Epoch315 Loss: 177.9833613338703, New Best Found!!
Epoch316 Loss: 177.63386138429607, New Best Found!!
Epoch317 Loss: 177.28690742028627, New Best Found!!
Epoch318 Loss: 176.94247245058838, New Best Found!!
Epoch319 Loss: 176.60052976763336, New Best Found!!
Epoch320 Loss: 176.26105294174894, New Best Found!!
Epoch321 Loss: 175.9240158159053, New Best Found!!
Epoch322 Loss: 175.58939250094213, New Best Found!!
Epoch323 Loss: 175.25715737125014, New Best Found!!
Epoch324 Loss: 174.9272850608733, New Best Found!!
Epoch325 Loss: 174.59975046000056, New Best Found!!
Epoch326 Loss: 174.27452871181688, New Best Found!!
Epoch327 Loss: 173.95159520967945, New Best Found!!
Epoch328 Loss: 173.6309255946026, New Best Found!!
Epoch329 Loss: 173.3124957530045, New Best Found!!
Epoch330 Loss: 172.99628181470575, New Best Found!!
Epoch331 Loss: 172.6822601511494, New Best Found!!
Epoch332 Loss: 172.37040737381147, New Best Found!!
Epoch333 Loss: 172.06070033278348, New Best Found!!
Epoch334 Loss: 171.75311611551223, New Best Found!!
Epoch335 Loss: 171.44763204565703, New Best Found!!
Epoch336 Loss: 171.14422568206285, New Best Found!!
Epoch337 Loss: 170.84287481782007, New Best Found!!
Epoch338 Loss: 170.5435574793969, New Best Found!!
Epoch339 Loss: 170.24625192582883, New Best Found!!
Epoch340 Loss: 169.95093664794865, New Best Found!!
Epoch341 Loss: 169.65759036764297, New Best Found!!
Epoch342 Loss: 169.36619203712632, New Best Found!!
Epoch343 Loss: 169.07672083821691, New Best Found!!
Epoch344 Loss: 168.78915618160661, New Best Found!!
Epoch345 Loss: 168.50347770611842, New Best Found!!
Epoch346 Loss: 168.21966527793802, New Best Found!!
Epoch347 Loss: 167.93769898981873, New Best Found!!
Epoch348 Loss: 167.65755916024926, New Best Found!!
Epoch349 Loss: 167.3792263325819, New Best Found!!
Epoch350 Loss: 167.10268127412076, New Best Found!!
Epoch351 Loss: 166.82790497515668, New Best Found!!
Epoch352 Loss: 166.55487864795725, New Best Found!!
Epoch353 Loss: 166.28358372570582, New Best Found!!
Epoch354 Loss: 166.01400186138855, New Best Found!!
Epoch355 Loss: 165.74611492662657, New Best Found!!
Epoch356 Loss: 165.47990501045825, New Best Found!!
Epoch357 Loss: 165.21535441807205, New Best Found!!
Epoch358 Loss: 164.95244566948216, New Best Found!!
Epoch359 Loss: 164.69116149815926, New Best Found!!
Epoch360 Loss: 164.431484849613, New Best Found!!
Epoch361 Loss: 164.17339887992495, New Best Found!!
Epoch362 Loss: 163.91688695424233, New Best Found!!
Epoch363 Loss: 163.66193264522173, New Best Found!!
Epoch364 Loss: 163.40851973144174, New Best Found!!
Epoch365 Loss: 163.15663219577212, New Best Found!!
Epoch366 Loss: 162.90625422370888, New Best Found!!
Epoch367 Loss: 162.65737020167796, New Best Found!!
Epoch368 Loss: 162.40996471530772, New Best Found!!
Epoch369 Loss: 162.16402254767465, New Best Found!!
Epoch370 Loss: 161.9195286775238, New Best Found!!
Epoch371 Loss: 161.67646827746643, New Best Found!!
Epoch372 Loss: 161.4348267121579, New Best Found!!
Epoch373 Loss: 161.19458953645776, New Best Found!!
Epoch374 Loss: 160.9557424935752, New Best Found!!
Epoch375 Loss: 160.718271513202, New Best Found!!
Epoch376 Loss: 160.48216270963275, New Best Found!!
